"term","freq","s1","s2","s3","prob"
"here i come",12,"here","i","come",0.214285714285714
"here we come",12,"here","we","come",0.292682926829268
"hope you had",12,"hope","you","had",0.0645161290322581
"hope you like",12,"hope","you","like",0.0645161290322581
"how can we",12,"how","can","we",0.24
"i'd love to",12,"i'd","love","to",0.571428571428571
"i'm so tired",12,"i'm","so","tired",0.11214953271028
"i can think",12,"i","can","think",0.020066889632107
"i chose to",12,"i","chose","to",0.545454545454545
"i find it",12,"i","find","it",0.153846153846154
"i have had",12,"i","have","had",0.0104895104895105
"i have my",12,"i","have","my",0.0104895104895105
"i just bought",12,"i","just","bought",0.0227272727272727
"i kind of",12,"i","kind","of",1
"i look at",12,"i","look","at",0.203389830508475
"i may be",12,"i","may","be",0.162162162162162
"i said i",12,"i","said","i",0.11214953271028
"i see the",12,"i","see","the",0.0895522388059701
"i see you",12,"i","see","you",0.0895522388059701
"i still can't",12,"i","still","can't",0.0863309352517986
"i took a",12,"i","took","a",0.171428571428571
"i would never",12,"i","would","never",0.0280373831775701
"if you ever",12,"if","you","ever",0.0130293159609121
"in a large",12,"in","a","large",0.0112781954887218
"in an interview",12,"in","an","interview",0.096
"in case you",12,"in","case","you",0.27906976744186
"in honor of",12,"in","honor","of",1
"in the afternoon",12,"in","the","afternoon",0.00313643491897543
"in the big",12,"in","the","big",0.00313643491897543
"in the mail",12,"in","the","mail",0.00313643491897543
"in the mirror",12,"in","the","mirror",0.00313643491897543
"in the park",12,"in","the","park",0.00313643491897543
"in the sky",12,"in","the","sky",0.00313643491897543
"in the studio",12,"in","the","studio",0.00313643491897543
"in to the",12,"in","to","the",0.17910447761194
"is a big",12,"is","a","big",0.0106100795755968
"is for the",12,"is","for","the",0.184615384615385
"is not in",12,"is","not","in",0.0304568527918782
"is that a",12,"is","that","a",0.0408163265306122
"is the last",12,"is","the","last",0.0142517814726841
"is trying to",12,"is","trying","to",0.923076923076923
"it's a good",12,"it's","a","good",0.0606060606060606
"it is still",12,"it","is","still",0.0119760479041916
"it is time",12,"it","is","time",0.0119760479041916
"it is very",12,"it","is","very",0.0119760479041916
"it really is",12,"it","really","is",0.24
"it seems that",12,"it","seems","that",0.13953488372093
"it was all",12,"it","was","all",0.0109489051094891
"it was also",12,"it","was","also",0.0109489051094891
"it was going",12,"it","was","going",0.0109489051094891
"join us for",12,"join","us","for",0.222222222222222
"just found out",12,"just","found","out",0.545454545454545
"know i have",12,"know","i","have",0.105263157894737
"learn more about",12,"learn","more","about",0.6
"life is good",12,"life","is","good",0.123711340206186
"like a great",12,"like","a","great",0.0287769784172662
"long as you",12,"long","as","you",0.171428571428571
"lost in the",12,"lost","in","the",0.5
"make it a",12,"make","it","a",0.0655737704918033
"make it to",12,"make","it","to",0.0655737704918033
"may or may",12,"may","or","may",0.923076923076923
"me that i",12,"me","that","i",0.0991735537190083
"members of the",12,"members","of","the",0.375
"might have to",12,"might","have","to",0.19047619047619
"might not be",12,"might","not","be",0.324324324324324
"more of the",12,"more","of","the",0.141176470588235
"much better than",12,"much","better","than",0.324324324324324
"my husband and",12,"my","husband","and",0.19672131147541
"need to find",12,"need","to","find",0.0219378427787934
"needed to be",12,"needed","to","be",0.203389830508475
"nice to meet",12,"nice","to","meet",0.17910447761194
"no one can",12,"no","one","can",0.0784313725490196
"no one else",12,"no","one","else",0.0784313725490196
"not a fan",12,"not","a","fan",0.0504201680672269
"not in a",12,"not","in","a",0.16
"of new york",12,"of","new","york",0.214285714285714
"of the city",12,"of","the","city",0.00307929176289453
"of the great",12,"of","the","great",0.00307929176289453
"of the show",12,"of","the","show",0.00307929176289453
"of the th",12,"of","the","th",0.00307929176289453
"of the top",12,"of","the","top",0.00307929176289453
"of the universe",12,"of","the","universe",0.00307929176289453
"of what you",12,"of","what","you",0.0952380952380952
"oh my gosh",12,"oh","my","gosh",0.19047619047619
"on the first",12,"on","the","first",0.00597312095569935
"on the internet",12,"on","the","internet",0.00597312095569935
"on the left",12,"on","the","left",0.00597312095569935
"on the wall",12,"on","the","wall",0.00597312095569935
"on their own",12,"on","their","own",0.123711340206186
"one more time",12,"one","more","time",0.169014084507042
"or is it",12,"or","is","it",0.428571428571429
"or may not",12,"or","may","not",0.923076923076923
"out of your",12,"out","of","your",0.0210896309314587
"place in the",12,"place","in","the",0.260869565217391
"president of the",12,"president","of","the",0.631578947368421
"ready to get",12,"ready","to","get",0.0652173913043478
"right now and",12,"right","now","and",0.0418118466898955
"right now i",12,"right","now","i",0.0418118466898955
"she had to",12,"she","had","to",0.169014084507042
"she is a",12,"she","is","a",0.0888888888888889
"should be the",12,"should","be","the",0.0466926070038911
"should not be",12,"should","not","be",0.324324324324324
"so glad i",12,"so","glad","i",0.3
"so it was",12,"so","it","was",0.184615384615385
"so much i",12,"so","much","i",0.0285714285714286
"sorry for the",12,"sorry","for","the",0.375
"such a thing",12,"such","a","thing",0.0542986425339367
"thank you and",12,"thank","you","and",0.0202020202020202
"thank you thank",12,"thank","you","thank",0.0202020202020202
"that's why i",12,"that's","why","i",0.428571428571429
"that has been",12,"that","has","been",0.144578313253012
"that is all",12,"that","is","all",0.0306122448979592
"that she was",12,"that","she","was",0.108108108108108
"the city of",12,"the","city","of",0.117647058823529
"the day before",12,"the","day","before",0.0422535211267606
"the face of",12,"the","face","of",0.363636363636364
"the good news",12,"the","good","news",0.153846153846154
"the grocery store",12,"the","grocery","store",0.857142857142857
"the man who",12,"the","man","who",0.176470588235294
"the mother of",12,"the","mother","of",0.521739130434783
"the next time",12,"the","next","time",0.0446096654275093
"the process of",12,"the","process","of",0.24
"the size of",12,"the","size","of",0.857142857142857
"the state of",12,"the","state","of",0.131868131868132
"the world of",12,"the","world","of",0.0300751879699248
"the year old",12,"the","year","old",0.108108108108108
"they seem to",12,"they","seem","to",0.75
"this has been",12,"this","has","been",0.444444444444444
"this one is",12,"this","one","is",0.096
"those of you",12,"those","of","you",0.363636363636364
"time for me",12,"time","for","me",0.0857142857142857
"time i have",12,"time","i","have",0.0774193548387097
"to be there",12,"to","be","there",0.0065252854812398
"to connect with",12,"to","connect","with",0.333333333333333
"to do anything",12,"to","do","anything",0.0160642570281124
"to get ready",12,"to","get","ready",0.0148514851485149
"to get rid",12,"to","get","rid",0.0148514851485149
"to get there",12,"to","get","there",0.0148514851485149
"to get you",12,"to","get","you",0.0148514851485149
"to give the",12,"to","give","the",0.0645161290322581
"to help you",12,"to","help","you",0.0740740740740741
"to leave the",12,"to","leave","the",0.173913043478261
"to make up",12,"to","make","up",0.0236220472440945
"to see some",12,"to","see","some",0.0176470588235294
"to spend the",12,"to","spend","the",0.25531914893617
"to start a",12,"to","start","a",0.0839160839160839
"to the city",12,"to","the","city",0.00574162679425837
"to the us",12,"to","the","us",0.00574162679425837
"to use a",12,"to","use","a",0.0827586206896552
"to write a",12,"to","write","a",0.131868131868132
"to you and",12,"to","you","and",0.051948051948052
"tonight at the",12,"tonight","at","the",0.222222222222222
"turned out to",12,"turned","out","to",0.333333333333333
"up to me",12,"up","to","me",0.0418118466898955
"us know if",12,"us","know","if",0.315789473684211
"want me to",12,"want","me","to",0.705882352941177
"want to take",12,"want","to","take",0.0161290322580645
"was a very",12,"was","a","very",0.0199004975124378
"was born in",12,"was","born","in",0.292682926829268
"was not a",12,"was","not","a",0.0816326530612245
"was the best",12,"was","the","best",0.0383386581469649
"we all know",12,"we","all","know",0.141176470588235
"we are in",12,"we","are","in",0.0271493212669683
"we need a",12,"we","need","a",0.0991735537190083
"well if you",12,"well","if","you",0.631578947368421
"what happens when",12,"what","happens","when",0.4
"what we have",12,"what","we","have",0.110091743119266
"where do you",12,"where","do","you",0.521739130434783
"who are you",12,"who","are","you",0.0952380952380952
"who will be",12,"who","will","be",0.292682926829268
"will be available",12,"will","be","available",0.0143884892086331
"will give you",12,"will","give","you",0.461538461538462
"will have the",12,"will","have","the",0.111111111111111
"wish me luck",12,"wish","me","luck",0.923076923076923
"with a little",12,"with","a","little",0.0168067226890756
"with some of",12,"with","some","of",0.15
"you are welcome",12,"you","are","welcome",0.0218181818181818
"you don't like",12,"you","don't","like",0.0701754385964912
"you for following",12,"you","for","following",0.069364161849711
"you had to",12,"you","had","to",0.19047619047619
"you may have",12,"you","may","have",0.144578313253012
"you on the",12,"you","on","the",0.184615384615385
"you see the",12,"you","see","the",0.096
"you to be",12,"you","to","be",0.0533333333333333
"a collection of",11,"a","collection","of",0.846153846153846
"a combination of",11,"a","combination","of",0.846153846153846
"a friend of",11,"a","friend","of",0.169230769230769
"a long way",11,"a","long","way",0.0723684210526316
"a month ago",11,"a","month","ago",0.189655172413793
"a time when",11,"a","time","when",0.148648648648649
"a way that",11,"a","way","that",0.125
"a whole new",11,"a","whole","new",0.169230769230769
"about to go",11,"about","to","go",0.0827067669172932
"according to a",11,"according","to","a",0.0738255033557047
"all at the",11,"all","at","the",0.5
"all you need",11,"all","you","need",0.192982456140351
"along with a",11,"along","with","a",0.120879120879121
"always wanted to",11,"always","wanted","to",1
"am not a",11,"am","not","a",0.148648648648649
"an attempt to",11,"an","attempt","to",0.785714285714286
"and a lot",11,"and","a","lot",0.0204081632653061
"and all that",11,"and","all","that",0.0866141732283465
"and i get",11,"and","i","get",0.00980392156862745
"and in a",11,"and","in","a",0.0797101449275362
"and not the",11,"and","not","the",0.0666666666666667
"and some of",11,"and","some","of",0.154929577464789
"and there was",11,"and","there","was",0.132530120481928
"and you are",11,"and","you","are",0.0578947368421053
"are interested in",11,"are","interested","in",0.578947368421053
"are the most",11,"are","the","most",0.0424710424710425
"as i get",11,"as","i","get",0.0398550724637681
"as it was",11,"as","it","was",0.0990990990990991
"at least a",11,"at","least","a",0.0357142857142857
"at that moment",11,"at","that","moment",0.144736842105263
"at the office",11,"at","the","office",0.00837776085300838
"back from the",11,"back","from","the",0.234042553191489
"back into the",11,"back","into","the",0.407407407407407
"be a little",11,"be","a","little",0.020109689213894
"be interested in",11,"be","interested","in",0.733333333333333
"be with you",11,"be","with","you",0.314285714285714
"been in a",11,"been","in","a",0.224489795918367
"been working on",11,"been","working","on",0.733333333333333
"beginning of the",11,"beginning","of","the",0.333333333333333
"better than the",11,"better","than","the",0.102803738317757
"but at the",11,"but","at","the",0.354838709677419
"but i also",11,"but","i","also",0.0172955974842767
"but i dont",11,"but","i","dont",0.0172955974842767
"but i would",11,"but","i","would",0.0172955974842767
"but then again",11,"but","then","again",0.159420289855072
"can do to",11,"can","do","to",0.0909090909090909
"can see that",11,"can","see","that",0.11
"can think of",11,"can","think","of",0.647058823529412
"check us out",11,"check","us","out",0.916666666666667
"coming to the",11,"coming","to","the",0.154929577464789
"day of my",11,"day","of","my",0.0956521739130435
"decided to make",11,"decided","to","make",0.083969465648855
"did not have",11,"did","not","have",0.0758620689655172
