"term","freq","s1","s2","s3","prob"
"had to put",10,"had","to","put",0.00946073793755913
"had to share",10,"had","to","share",0.00946073793755913
"haha i love",10,"haha","i","love",0.0689655172413793
"haha thank you",10,"haha","thank","you",0.833333333333333
"happy easter to",10,"happy","easter","to",0.116279069767442
"happy holidays to",10,"happy","holidays","to",0.192307692307692
"happy st patrick's",10,"happy","st","patrick's",0.32258064516129
"happy to report",10,"happy","to","report",0.0292397660818713
"hard it is",10,"hard","it","is",0.476190476190476
"hard to tell",10,"hard","to","tell",0.0198412698412698
"has a few",10,"has","a","few",0.0116550116550117
"has a plan",10,"has","a","plan",0.0116550116550117
"has been an",10,"has","been","an",0.00640204865556978
"has been done",10,"has","been","done",0.00640204865556978
"has been hacked",10,"has","been","hacked",0.00640204865556978
"has been made",10,"has","been","made",0.00640204865556978
"has been used",10,"has","been","used",0.00640204865556978
"has been very",10,"has","been","very",0.00640204865556978
"has done for",10,"has","done","for",0.133333333333333
"has happened to",10,"has","happened","to",0.204081632653061
"has so many",10,"has","so","many",0.344827586206897
"has the power",10,"has","the","power",0.0378787878787879
"has to get",10,"has","to","get",0.0253807106598985
"has to go",10,"has","to","go",0.0253807106598985
"have a beautiful",10,"have","a","beautiful",0.00279955207166853
"have a crush",10,"have","a","crush",0.00279955207166853
"have a full",10,"have","a","full",0.00279955207166853
"have a heart",10,"have","a","heart",0.00279955207166853
"have a life",10,"have","a","life",0.00279955207166853
"have a link",10,"have","a","link",0.00279955207166853
"have a real",10,"have","a","real",0.00279955207166853
"have a strong",10,"have","a","strong",0.00279955207166853
"have a super",10,"have","a","super",0.00279955207166853
"have been asked",10,"have","been","asked",0.00545851528384279
"have been there",10,"have","been","there",0.00545851528384279
"have been thinking",10,"have","been","thinking",0.00545851528384279
"have decided that",10,"have","decided","that",0.238095238095238
"have done it",10,"have","done","it",0.075187969924812
"have ever had",10,"have","ever","had",0.0925925925925926
"have hours to",10,"have","hours","to",0.833333333333333
"have in common",10,"have","in","common",0.104166666666667
"have just been",10,"have","just","been",0.123456790123457
"have not seen",10,"have","not","seen",0.0571428571428571
"have noticed that",10,"have","noticed","that",0.333333333333333
"have seen a",10,"have","seen","a",0.0769230769230769
"have seen in",10,"have","seen","in",0.0769230769230769
"have taken a",10,"have","taken","a",0.123456790123457
"have the courage",10,"have","the","courage",0.0113765642775882
"have to feel",10,"have","to","feel",0.00363636363636364
"have to figure",10,"have","to","figure",0.00363636363636364
"have to pick",10,"have","to","pick",0.00363636363636364
"have to play",10,"have","to","play",0.00363636363636364
"have to read",10,"have","to","read",0.00363636363636364
"have to stop",10,"have","to","stop",0.00363636363636364
"have too many",10,"have","too","many",0.333333333333333
"haven't seen it",10,"haven't","seen","it",0.126582278481013
"haven't seen the",10,"haven't","seen","the",0.126582278481013
"having a baby",10,"having","a","baby",0.0180505415162455
"having fun with",10,"having","fun","with",0.120481927710843
"having to deal",10,"having","to","deal",0.0680272108843537
"he didn't want",10,"he","didn't","want",0.0952380952380952
"he has had",10,"he","has","had",0.0180505415162455
"he is my",10,"he","is","my",0.0099009900990099
"he likes to",10,"he","likes","to",0.3125
"he needs a",10,"he","needs","a",0.142857142857143
"he was about",10,"he","was","about",0.00736919675755343
"he was really",10,"he","was","really",0.00736919675755343
"hear more about",10,"hear","more","about",0.4
"hear what you",10,"hear","what","you",0.24390243902439
"heart and mind",10,"heart","and","mind",0.0952380952380952
"her but she",10,"her","but","she",0.149253731343284
"her so much",10,"her","so","much",0.285714285714286
"her to go",10,"her","to","go",0.037037037037037
"her with a",10,"her","with","a",0.212765957446809
"here's what i",10,"here's","what","i",0.384615384615385
"here and here",10,"here","and","here",0.0423728813559322
"here i have",10,"here","i","have",0.0471698113207547
"here if you",10,"here","if","you",0.454545454545455
"here on my",10,"here","on","my",0.0970873786407767
"here on out",10,"here","on","out",0.0970873786407767
"heres the thing",10,"heres","the","thing",0.285714285714286
"hey guess what",10,"hey","guess","what",0.909090909090909
"highlight of my",10,"highlight","of","my",0.4
"highly recommend it",10,"highly","recommend","it",0.208333333333333
"him as he",10,"him","as","he",0.119047619047619
"him from the",10,"him","from","the",0.27027027027027
"him when he",10,"him","when","he",0.384615384615385
"his father was",10,"his","father","was",0.128205128205128
"his mother and",10,"his","mother","and",0.147058823529412
"holes in the",10,"holes","in","the",0.555555555555556
"holla at me",10,"holla","at","me",0.625
"home with the",10,"home","with","the",0.114942528735632
"honor of the",10,"honor","of","the",0.208333333333333
"hope for the",10,"hope","for","the",0.142857142857143
"hope we get",10,"hope","we","get",0.208333333333333
"hope you know",10,"hope","you","know",0.0147710487444609
"hotel in kansas",10,"hotel","in","kansas",0.294117647058824
"hours a week",10,"hours","a","week",0.416666666666667
"how bout you",10,"how","bout","you",0.27027027027027
"how could you",10,"how","could","you",0.126582278481013
"how difficult it",10,"how","difficult","it",0.714285714285714
"how does a",10,"how","does","a",0.10752688172043
"how far you",10,"how","far","you",0.166666666666667
"how is everyone",10,"how","is","everyone",0.0680272108843537
"how it turned",10,"how","it","turned",0.0411522633744856
"how much we",10,"how","much","we",0.0176056338028169
"how they are",10,"how","they","are",0.0719424460431655
"how to create",10,"how","to","create",0.00959692898272553
"how to find",10,"how","to","find",0.00959692898272553
"how to keep",10,"how","to","keep",0.00959692898272553
"how to live",10,"how","to","live",0.00959692898272553
"how to take",10,"how","to","take",0.00959692898272553
"how to write",10,"how","to","write",0.00959692898272553
"how we do",10,"how","we","do",0.0613496932515337
"how you doing",10,"how","you","doing",0.036101083032491
"hundreds of thousands",10,"hundreds","of","thousands",0.1
"hung out with",10,"hung","out","with",0.454545454545455
"i'd rather have",10,"i'd","rather","have",0.166666666666667
"i'll be able",10,"i'll","be","able",0.0198019801980198
"i'll take a",10,"i'll","take","a",0.119047619047619
"i'm a bit",10,"i'm","a","bit",0.0272479564032698
"i'm at work",10,"i'm","at","work",0.101010101010101
"i'm beginning to",10,"i'm","beginning","to",1
"i'm bout to",10,"i'm","bout","to",1
"i'm doing a",10,"i'm","doing","a",0.102040816326531
"i'm glad that",10,"i'm","glad","that",0.0763358778625954
"i'm gonna miss",10,"i'm","gonna","miss",0.045662100456621
"i'm gonna need",10,"i'm","gonna","need",0.045662100456621
"i'm just not",10,"i'm","just","not",0.0421940928270042
"i'm like a",10,"i'm","like","a",0.277777777777778
"i'm new to",10,"i'm","new","to",0.833333333333333
"i'm proud to",10,"i'm","proud","to",0.294117647058824
"i'm rooting for",10,"i'm","rooting","for",1
"i'm so sad",10,"i'm","so","sad",0.0228310502283105
"i'm still here",10,"i'm","still","here",0.050761421319797
"i'm sure it's",10,"i'm","sure","it's",0.04
"i've been looking",10,"i've","been","looking",0.016260162601626
"i've been wanting",10,"i've","been","wanting",0.016260162601626
"i've got it",10,"i've","got","it",0.0609756097560976
"i've got some",10,"i've","got","some",0.0609756097560976
"i've never had",10,"i've","never","had",0.0680272108843537
"i've never heard",10,"i've","never","heard",0.0680272108843537
"i've seen in",10,"i've","seen","in",0.0869565217391304
"i agree i",10,"i","agree","i",0.0546448087431694
"i ain't got",10,"i","ain't","got",0.166666666666667
"i always say",10,"i","always","say",0.0284090909090909
"i am done",10,"i","am","done",0.00224265530387979
"i am officially",10,"i","am","officially",0.00224265530387979
"i am saying",10,"i","am","saying",0.00224265530387979
"i am truly",10,"i","am","truly",0.00224265530387979
"i beg to",10,"i","beg","to",0.526315789473684
"i believe there",10,"i","believe","there",0.029940119760479
"i called my",10,"i","called","my",0.175438596491228
"i can't really",10,"i","can't","really",0.00862812769628991
"i can actually",10,"i","can","actually",0.00446428571428571
"i can also",10,"i","can","also",0.00446428571428571
"i can read",10,"i","can","read",0.00446428571428571
"i can talk",10,"i","can","talk",0.00446428571428571
"i can understand",10,"i","can","understand",0.00446428571428571
"i can write",10,"i","can","write",0.00446428571428571
"i cant be",10,"i","cant","be",0.0246913580246914
"i cant imagine",10,"i","cant","imagine",0.0246913580246914
"i could really",10,"i","could","really",0.00806451612903226
"i could spend",10,"i","could","spend",0.00806451612903226
"i could to",10,"i","could","to",0.00806451612903226
"i couldn't resist",10,"i","couldn't","resist",0.0495049504950495
"i created a",10,"i","created","a",0.212765957446809
"i cried when",10,"i","cried","when",0.27027027027027
"i discovered that",10,"i","discovered","that",0.172413793103448
"i do miss",10,"i","do","miss",0.00865800865800866
"i do want",10,"i","do","want",0.00865800865800866
"i feel really",10,"i","feel","really",0.00937207122774133
"i feel when",10,"i","feel","when",0.00937207122774133
"i first heard",10,"i","first","heard",0.1
"i found some",10,"i","found","some",0.0240384615384615
"i fucking love",10,"i","fucking","love",0.32258064516129
"i gave him",10,"i","gave","him",0.10752688172043
"i gave it",10,"i","gave","it",0.10752688172043
"i gave them",10,"i","gave","them",0.10752688172043
"i got from",10,"i","got","from",0.0084530853761623
"i got so",10,"i","got","so",0.0084530853761623
"i got that",10,"i","got","that",0.0084530853761623
"i guess ill",10,"i","guess","ill",0.0145985401459854
"i guess its",10,"i","guess","its",0.0145985401459854
"i guess thats",10,"i","guess","thats",0.0145985401459854
"i had and",10,"i","had","and",0.00454545454545455
"i had on",10,"i","had","on",0.00454545454545455
"i had only",10,"i","had","only",0.00454545454545455
"i had so",10,"i","had","so",0.00454545454545455
"i had such",10,"i","had","such",0.00454545454545455
"i have given",10,"i","have","given",0.00218245307725884
"i have taken",10,"i","have","taken",0.00218245307725884
"i have too",10,"i","have","too",0.00218245307725884
"i heard you",10,"i","heard","you",0.0480769230769231
"i just ate",10,"i","just","ate",0.00478927203065134
"i just couldnt",10,"i","just","couldnt",0.00478927203065134
"i just didnt",10,"i","just","didnt",0.00478927203065134
"i just get",10,"i","just","get",0.00478927203065134
"i just loved",10,"i","just","loved",0.00478927203065134
"i just used",10,"i","just","used",0.00478927203065134
"i keep my",10,"i","keep","my",0.0649350649350649
"i knew how",10,"i","knew","how",0.0253164556962025
"i knew this",10,"i","knew","this",0.0253164556962025
"i know about",10,"i","know","about",0.00501756146512795
"i know exactly",10,"i","know","exactly",0.00501756146512795
"i know just",10,"i","know","just",0.00501756146512795
"i know that's",10,"i","know","that's",0.00501756146512795
"i leave you",10,"i","leave","you",0.144927536231884
"i like her",10,"i","like","her",0.0113378684807256
"i live for",10,"i","live","for",0.0558659217877095
"i looked like",10,"i","looked","like",0.0813008130081301
